Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,places_visited,image_url,price,restaurant
"THIRAPPANE, ANURADHAPURA",164,5/29/2018,5.9,ULAGALLA WALAWWA RESORT,American,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",309 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://cf.bstatic.com/xdata/images/hotel/max1024x768/398537873.jpg?k=9261abc8b549ac9d906676d16730f9f662be672331122fdf5da7580a7b14eb27&o=&hp=1,42000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"4C/5, STAGE ONE, MIHINDU MAWATHA, ANURADHAPURA",164,9/6/2018,9,SANDELLE HOLIDAY RESORT,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",409 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://media-cdn.tripadvisor.com/media/photo-s/26/12/ed/2e/the-ivy-lake.jpg,75000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"PULLAYAR JUNCTION, MIHINTHALE ROAD, ANURADHAPURA.",164,9/7/2018,6,SADULA HOLIDAY RESORT,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",410 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://d27k8xmh3cuzik.cloudfront.net/wp-content/uploads/2018/04/a-traditional-style-Sri-Lankan-resort-with-a-lawn-OG-ss30082018.jpg,60000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"ANURADHAPURA CITY CENTRE, ANURADHAPURA",164,9/8/2018,10,KABURA RESORT,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Business ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",411 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://cf.bstatic.com/images/hotel/max1024x768/187/187278148.jpg,80000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"NIDANGALA WATTE, MALIGATENNA, 5 ELA, ANURADHAPURA",164,9/9/2018,5.7,PEACOCK RESIDENCE,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",412 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://media-cdn.tripadvisor.com/media/photo-s/10/70/aa/9e/the-residence-anuradhapura.jpg,34000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"SEVANAGAMA ROAD, OFF TRINCO ROAD, ANURADHAPURA",164,9/10/2018,6,SEVENAGAMA,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",413 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://cf.bstatic.com/xdata/images/hotel/max1024x768/156479640.jpg?k=8c38867f391812c2acf0cb919c9f02c19af458421cb86add0849471b2e0e77d2&o=&hp=1,20000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"NO:558/A, D.S SENANAYAKE MAWATHA, STAGE TOWN, ANURADHAPURA",164,9/11/2018,7,HOTEL SISIL THERA,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Luxury ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",414 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://cf.bstatic.com/images/hotel/max1024x768/126/126715040.jpg,45000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"P.O. BOX 02, ANURADHAPURA",164,9/12/2018,10,CINNAMON LODGE,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",415 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://www.honeymoondreams.co.uk/wp-content/uploads/2014/07/Cinnamon-Lodge-Habarana-Luxury-Sri-Lanka-Holiday-Package-exterior-lodge.jpg,38000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"LAKE ROAD,  ANURADHAPURA",164,9/13/2018,8.5,SOROWWA RESORT AND SPA,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",416 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://www.sorowwa.com/img/home/02.jpg,52000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"POST 42,PUTTALAM ROAD, PANDULAGAMA, ANURADHAPURA.",164,9/14/2018,9.7,PALM GARDEN VILLAGE HOTEL,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",417 days,48.2037451,16.3356767,"Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa",https://arenatours.com/wp-content/uploads/sri-lanka/palm-garden-village-hotel/palm-garden-village-hotel-1.jpeg,78000,"Little Paradise Anuradhapura,Mango Mango,Ambula Anuradhapura,Walkers,Rasa Gedara"
"NO.28, CHURCH STREET, FORT, GALLE",164,9/15/2018,5.7,GALLE FORT HOTEL,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",418 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5d/85/3f/courtyard.jpg?w=700&h=-1&s=1,35000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"NO.288,GALLE ROAD, DADELLA, GALLE",164,9/16/2018,9,TAMARIND HILL HOTEL,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Luxury ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",419 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5d/85/3f/courtyard.jpg?w=700&h=-1&s=1,67000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"GALLE ROAD, DADELLA, GALLE",164,9/17/2018,8,THE FORTRESS,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",420 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://media.dertouristik.com/exports/KuoniUK/ImageGalleryLightboxLarge/501732_ImageGalleryLightboxLarge.jpg,78000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"NO. 10 CHURCH ROAD, GALLE",164,9/18/2018,7.8,AMANGALLE,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",421 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://media.dertouristik.com/exports/KuoniUK/ImageGalleryLightboxLarge/501732_ImageGalleryLightboxLarge.jpg,68000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"26, CHURCH STREET, GALLE FORT, GALLE",164,9/19/2018,10,THE FORT BAZAAR,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",422 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://www.teardrop-hotels.com/fort-bazaar/wp-content/uploads/sites/9/2018/10/fort-bazaar-home-main-1920x848.jpg,80000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"47/23,PARATHARAKAYA CIRCULATION ROAD, GALLE",164,9/20/2018,9,THE HABITAT,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",423 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/154431049.jpg?k=5405a16252f21c1a50a5056e34a5dfdb59d12320cd9cc58cd6e42ecdb542c8f6&o=,79000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"NEELISGEWATTA,ALAWATHUGODA, GALLE.",164,9/21/2018,6,ROCK VILLA,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Luxury ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",424 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://cf.bstatic.com/xdata/images/hotel/max1024x768/68583681.jpg?k=7196ce87c2a1c7d8febca1bc916554738173b5b440894491e20f5bdd438104a0&o=&hp=1,54000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"NO,776,GALLE ROAD,THIRANGAMA, GALLE",164,9/22/2018,7,VILLA SAFFRON,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",425 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://www.villasaffron.com/villa-saffron-hikkaduwa/images/home/hikkaduwa-main-home-slider3.jpg,62000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"NO. 4/10, RUMASSALA, GALLE",164,9/23/2018,8.5,COCO BAY,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",426 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://cf.bstatic.com/xdata/images/hotel/max1024x768/400363806.jpg?k=21c9ad5c695ec61990aa06746d0196dfbd27f85580495322bc19146f55229394&o=&hp=1,75000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"NO. 834, MATARA ROAD, GALLE",164,9/24/2018,10,ERA BEACH HOTEL,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Business ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",427 days,48.2037451,16.3356767,"Galle Dutch Fort,Dutch Reformed Church,Lighthouse - Galle,Maritime Museum - Galle,Galle Fort Clock Tower,Historical Mansion Museum",https://pix10.agoda.net/hotelImages/248126/-1/25e1e95334118b72b04c44c2945236ae.jpg?ca=9&ce=1&s=1024x768,80000,"The Bungalow Galle Fort,The Shack Beach Cafe,Imal's restaurant,Coconut Sambol,Ocean Bistro by Starbeans"
"NO.65, ROSMEAD PLACE, COLOMBO ",164,9/25/2018,9.2,PARADISE ROAD TINTAGEL COLOMBO,Singapore,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",428 days,48.2037451,16.3356767,"Gangaramaya Temple,Galle Face Green,Independence Square,Viharamahadevi Park,Colombo Lotus Tower,Old Parliament Building",https://cf.bstatic.com/xdata/images/hotel/max1024x768/233756574.jpg?k=cd81f1fda7f292afcea7d47b6f4ca06566332fae0064764d07d32dfc03406ad7&o=&hp=1,43000,"Breeze Bar,Nuga Gama,Curry Leaf,Noodles Restaurant,Lagoon,Cafe Kumbuk"
"NO 113/8B ,DUWAWATTA, ST PETER'S ROAD, KORALAWELLA, COLOMBO ",164,9/26/2018,8.2,THE PIER,Singapore,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",429 days,48.2037451,16.3356767,"Gangaramaya Temple,Galle Face Green,Independence Square,Viharamahadevi Park,Colombo Lotus Tower,Old Parliament Building",https://the-pier-bolgoda-moratuwa.booked.net/data/Photos/OriginalPhoto/9586/958694/958694410/The-Pier-Bolgoda-Moratuwa-Exterior.JPEG,76000,"Breeze Bar,Nuga Gama,Curry Leaf,Noodles Restaurant,Lagoon,Cafe Kumbuk"
"NO.9, TUDUWA, DAMPE, COLOMBO ",164,9/27/2018,6.2,THE RANMIN BUNGALOW,Singapore,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",430 days,48.2037451,16.3356767,"Gangaramaya Temple,Galle Face Green,Independence Square,Viharamahadevi Park,Colombo Lotus Tower,Old Parliament Building",https://pix10.agoda.net/hotelImages/413/4133933/4133933_18010519590060813065.jpg?ca=6&ce=1&s=1024x768,43000,"Breeze Bar,Nuga Gama,Curry Leaf,Noodles Restaurant,Lagoon,Cafe Kumbuk"
"NO.10,HOSPITAL ROAD, COLOMBO ",164,9/28/2018,7.2,ARANGA-LA,Singapore,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Luxury ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",431 days,48.2037451,16.3356767,"Gangaramaya Temple,Galle Face Green,Independence Square,Viharamahadevi Park,Colombo Lotus Tower,Old Parliament Building",https://media-cdn.tripadvisor.com/media/photo-p/1b/ae/a2/65/arangala-forest-lodge.jpg,65000,"Breeze Bar,Nuga Gama,Curry Leaf,Noodles Restaurant,Lagoon,Cafe Kumbuk"
"14, SELLAMUTTU AVENUE, COLOMBO",164,9/29/2018,8.2,THE OCEAN FRONT,Singapore,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",432 days,48.2037451,16.3356767,"Gangaramaya Temple,Galle Face Green,Independence Square,Viharamahadevi Park,Colombo Lotus Tower,Old Parliament Building",https://www.oceanfrontcondos.lk/wp-content/uploads/2022/01/home-desk-header-2.jpg,62000,"Breeze Bar,Nuga Gama,Curry Leaf,Noodles Restaurant,Lagoon,Cafe Kumbuk"
"NO.65, ROSMEAD PLACE, COLOMBO ",164,9/30/2018,5,AVANA,Singapore,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",433 days,48.2037451,16.3356767,"Gangaramaya Temple,Galle Face Green,Independence Square,Viharamahadevi Park,Colombo Lotus Tower,Old Parliament Building",https://www.telegraph.co.uk/content/dam/Travel/hotels/asia/sri-lanka/movenpick-colombo-p.jpg,54000,"Breeze Bar,Nuga Gama,Curry Leaf,Noodles Restaurant,Lagoon,Cafe Kumbuk"
