Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,places_visited
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/17/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",24 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/18/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",25 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/19/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",26 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/20/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",27 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/21/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",28 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/22/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",29 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/23/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",30 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/24/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",31 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/25/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",32 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/26/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",33 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/27/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",34 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/28/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",35 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/29/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",36 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/30/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",37 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/31/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",38 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/1/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",39 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/2/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",40 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/3/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",41 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/4/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",42 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/5/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",43 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/6/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",44 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/7/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/8/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",46 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/9/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",47 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/10/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/11/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",49 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/12/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",50 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/13/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/14/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",52 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/15/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",53 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/16/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",54 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/17/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",55 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/18/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",56 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/19/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",57 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/20/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",58 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/21/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",59 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/22/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",60 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/23/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",61 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/24/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",62 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,9/25/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",63 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
