Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,places_visited,image_url
"THIRAPPANE, ANURADHAPURA",164,5/29/2018,5.9,ULAGALLA WALAWWA RESORT,American,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",309 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://cf.bstatic.com/xdata/images/hotel/max1024x768/398537873.jpg?k=9261abc8b549ac9d906676d16730f9f662be672331122fdf5da7580a7b14eb27&o=&hp=1
"4C/5, STAGE ONE, MIHINDU MAWATHA, ANURADHAPURA",164,9/6/2018,9,SANDELLE HOLIDAY RESORT,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",409 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://media-cdn.tripadvisor.com/media/photo-s/26/12/ed/2e/the-ivy-lake.jpg
"PULLAYAR JUNCTION, MIHINTHALE ROAD, ANURADHAPURA.",164,9/7/2018,6,SADULA HOLIDAY RESORT,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",410 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://d27k8xmh3cuzik.cloudfront.net/wp-content/uploads/2018/04/a-traditional-style-Sri-Lankan-resort-with-a-lawn-OG-ss30082018.jpg
"ANURADHAPURA CITY CENTRE, ANURADHAPURA",164,9/8/2018,10,KABURA RESORT,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",411 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://cf.bstatic.com/images/hotel/max1024x768/187/187278148.jpg
"NIDANGALA WATTE, MALIGATENNA, 5 ELA, ANURADHAPURA",164,9/9/2018,5.7,PEACOCK RESIDENCE,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",412 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://media-cdn.tripadvisor.com/media/photo-s/10/70/aa/9e/the-residence-anuradhapura.jpg
"SEVANAGAMA ROAD, OFF TRINCO ROAD, ANURADHAPURA",164,9/10/2018,6,SEVENAGAMA,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",413 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://cf.bstatic.com/xdata/images/hotel/max1024x768/156479640.jpg?k=8c38867f391812c2acf0cb919c9f02c19af458421cb86add0849471b2e0e77d2&o=&hp=1
"NO:558/A, D.S SENANAYAKE MAWATHA, STAGE TOWN, ANURADHAPURA",164,9/11/2018,7,HOTEL SISIL THERA,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",414 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://cf.bstatic.com/images/hotel/max1024x768/126/126715040.jpg
"P.O. BOX 02, ANURADHAPURA",164,9/12/2018,10,CINNAMON LODGE,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",415 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://www.honeymoondreams.co.uk/wp-content/uploads/2014/07/Cinnamon-Lodge-Habarana-Luxury-Sri-Lanka-Holiday-Package-exterior-lodge.jpg
"LAKE ROAD,  ANURADHAPURA",164,9/13/2018,8.5,SOROWWA RESORT AND SPA,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",416 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://www.sorowwa.com/img/home/02.jpg
"POST 42,PUTTALAM ROAD, PANDULAGAMA, ANURADHAPURA.",164,9/14/2018,9.7,PALM GARDEN VILLAGE HOTEL,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,8.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",417 days,48.2037451,16.3356767,"[Ruwanweli Maha Seya,Siri Maha Bodhi,Thuparamaya Dagaba,Sigiriya,Mihintale,Mirisavetiya Stupa]",https://arenatours.com/wp-content/uploads/sri-lanka/palm-garden-village-hotel/palm-garden-village-hotel-1.jpeg
